gid,daynight,attendance,precip,sky,temp,winddir,windspeed
LAN202304290,night,48763,none,sunny,66,torf,7
MIA202304290,day,14994,none,dome,72,unknown,0
MIL202304290,night,39198,none,dome,66,unknown,0
MIN202304290,day,22883,none,overcast,47,torf,10
OAK202304290,day,7052,none,cloudy,63,torf,9
SDN202304290,night,19611,none,cloudy,81,torf,9
TEX202304290,night,40027,none,dome,74,unknown,0
TOR202304290,day,41475,none,dome,68,unknown,0
WAS202304291,day,22090,none,overcast,60,fromlf,3
WAS202304292,night,17482,none,cloudy,69,rtol,1
BOS202304300,day,29395,drizzle,overcast,51,fromcf,4
CHA202304300,day,17049,rain,overcast,46,tolf,7
COL202304300,day,31900,none,cloudy,65,fromcf,8
DET202304300,day,13626,none,cloudy,51,rtol,5
HOU202304300,night,41669,none,dome,73,unknown,0
LAN202304300,day,52304,none,overcast,67,tocf,3
MIA202304300,day,20345,none,dome,72,unknown,0
MIL202304300,day,33557,none,dome,64,unknown,0
MIN202304300,day,17150,none,cloudy,45,torf,18
OAK202304300,day,18271,none,cloudy,63,torf,14
SDN202304300,day,19633,none,sunny,80,fromcf,5
TEX202304300,day,39078,none,sunny,82,unknown,6
TOR202304300,day,40158,none,dome,68,unknown,0
WAS202304300,day,16898,none,overcast,62,ltor,2
BOS202305010,night,27438,none,cloudy,59,tocf,6
HOU202305010,night,30915,none,dome,73,unknown,0
LAN202305010,night,42137,none,cloudy,59,torf,6
NYA202305010,night,33414,none,cloudy,58,rtol,13
NYN202305011,day,0,none,cloudy,59,torf,15
NYN202305012,day,27603,none,cloudy,62,tocf,7
SDN202305010,night,37491,none,cloudy,60,rtol,10
WAS202305010,night,13722,none,cloudy,57,torf,8
BOS202305020,night,27721,rain,overcast,50,unknown,3
CHA202305020,night,13094,none,overcast,48,torf,7
COL202305020,night,19517,none,cloudy,66,ltor,9
HOU202305020,night,31701,none,cloudy,76,tolf,7
KCA202305020,night,10487,none,sunny,67,ltor,14
LAN202305020,night,42780,none,sunny,57,ltor,8
MIA202305020,night,8626,none,dome,72,unknown,0
NYA202305020,night,32521,none,cloudy,55,rtol,13
OAK202305020,night,2583,none,cloudy,54,tolf,7
SDN202305020,night,43127,none,cloudy,61,ltor,10
